Candid grant_strategy_tran,Tidied 5-digit purpose name,Tidied 3-digit sector name
"Program support; Public engagement and education; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Publications",Multisector education/training,Other Multisector
Program support; Public engagement and education; Advocacy; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Public engagement and education; Conference attendance,Multisector education/training,Other Multisector
Program support; Public engagement and education; Conference attendance; Advocacy,Multisector education/training,Other Multisector
Program support; Public engagement and education; Equal access; Recordings,Multisector education/training,Other Multisector
Program support; Public engagement and education; Network-building and collaboration,Multisector education/training,Other Multisector
"Program support; Public engagement and education; Policy, advocacy and systems reform; Capacity-building and technical assistance",Multisector education/training,Other Multisector
"Program support; Public engagement and education; Policy, advocacy and systems reform; Recordings",Multisector education/training,Other Multisector
Program support; Public engagement and education; Product and service delivery,Multisector education/training,Other Multisector
Program support; Public engagement and education; Publications; Ethics and accountability,Multisector education/training,Other Multisector
Program support; Public engagement and education; Regulation and administration; Network-building and collaboration,Multisector education/training,Other Multisector
Program support; Recordings; Advocacy; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Recordings; Equal access,Multisector education/training,Other Multisector
Program support; Regulation and administration; Equal access,Multisector education/training,Other Multisector
Program support; Regulation and administration; Public engagement and education; Network-building and collaboration,Multisector education/training,Other Multisector
Program support; Research,Multisector education/training,Other Multisector
Program support; Research and evaluation,Multisector education/training,Other Multisector
Program support; Research and evaluation; Capacity-building and technical assistance,Multisector education/training,Other Multisector
"Program support; Research and evaluation; Capacity-building and technical assistance; Policy, advocacy and systems reform",Multisector education/training,Other Multisector
Program support; Research; Capacity-building and technical assistance,Multisector education/training,Other Multisector
Program support; Research; Data and measurement systems; Capacity-building and technical assistance,Multisector education/training,Other Multisector
Program support; Research; Information technology,Multisector education/training,Other Multisector
"Program support; Research; Policy, advocacy and systems reform",Multisector education/training,Other Multisector
"Program support; Research; Policy, advocacy and systems reform; Data and measurement systems",Multisector education/training,Other Multisector
"Program support; Research; Policy, advocacy and systems reform; Data and measurement systems; Continuing support",Multisector education/training,Other Multisector
"Program support; Research; Policy, advocacy and systems reform; Public engagement and education",Multisector education/training,Other Multisector
Program support; Sponsorships,Small and medium-sized enterprises (SME) development,Industry
Program support; Student aid; Research and evaluation,Small and medium-sized enterprises (SME) development,Industry
Program support; Systems reform; Equal access; Product and service delivery; Capacity-building and technical assistance,Multisector education/training,Other Multisector
Program support; Systems reform; Public engagement and education,Multisector education/training,Other Multisector
Program support; Systems reform; Public engagement and education; Equal access,Multisector education/training,Other Multisector
Program support; Systems reform; Public engagement and education; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Systems reform; Technical assistance; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Technical assistance,Multisector education/training,Other Multisector
Program support; Technical assistance; Advocacy; Conference attendance; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Technical assistance; Continuing support,Multisector education/training,Other Multisector
Program support; Technical assistance; Equipment; Participatory grantmaking,Multisector education/training,Other Multisector
Program support; Technical education support; Conference attendance; Volunteer development; Participatory grantmaking,Multisector education/training,Other Multisector
Public engagement and education,Education facilities and training,Education
Public engagement and education; Advocacy,Education facilities and training,Education
Public engagement and education; Advocacy; Capacity-building and technical assistance,Advanced technical and managerial training,Post-Secondary Education
Public engagement and education; Advocacy; Capacity-building and technical assistance; Conference attendance,Advanced technical and managerial training,Post-Secondary Education
Public engagement and education; Advocacy; Capacity-building and technical assistance; Conference attendance; Information and Referral,Advanced technical and managerial training,Post-Secondary Education
Public engagement and education; Advocacy; Convening; Publications,Education facilities and training,Education
Public engagement and education; Advocacy; Equal access,Education facilities and training,Education
"Public engagement and education; Advocacy; Equal access; Ethics and accountability; Grassroots organizing; Systems reform; Policy, advocacy and systems reform",Education facilities and training,Education
"Public engagement and education; Advocacy; Equal access; Ethics and accountability; Systems reform; Policy, advocacy and systems reform",Public sector policy and administrative management,Government & Civil Society
"Public engagement and education; Advocacy; Equal access; Ethics and accountability; Systems reform; Policy, advocacy and systems reform; Online engagement",Advanced technical and managerial training,Post-Secondary Education
"Public engagement and education; Advocacy; Equal access; Ethics and accountability; Systems reform; Policy, advocacy and systems reform; Publications; Fellowships",Advanced technical and managerial training,Post-Secondary Education
"Public engagement and education; Advocacy; Equal access; Ethics and accountability; Systems reform; Policy, advocacy and systems reform; Recordings",Advanced technical and managerial training,Post-Secondary Education
"Public engagement and education; Advocacy; Equal access; Grassroots organizing; Systems reform; Policy, advocacy and systems reform",Public sector policy and administrative management,Government & Civil Society
"Public engagement and education; Advocacy; Equal access; Grassroots organizing; Systems reform; Policy, advocacy and systems reform; Capacity-building and technical assistance",Advanced technical and managerial training,Post-Secondary Education
"Public engagement and education; Advocacy; Equal access; Litigation; Systems reform; Policy, advocacy and systems reform",Public sector policy and administrative management,Government & Civil Society
"Public engagement and education; Advocacy; Equal access; Litigation; Systems reform; Policy, advocacy and systems reform; Participatory grantmaking",Public sector policy and administrative management,Government & Civil Society
"Public engagement and education; Advocacy; Equal access; Policy, advocacy and systems reform; Faculty and staff development",Public sector policy and administrative management,Government & Civil Society
Public engagement and education; Advocacy; Equal access; Program support,Public sector policy and administrative management,Government & Civil Society
"Public engagement and education; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform",Public sector policy and administrative management,Government & Civil Society
"Public engagement and education; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Capacity-building and technical assistance",Public sector policy and administrative management,Government & Civil Society
"Public engagement and education; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Capacity-building and technical assistance; Participatory grantmaking",Public sector policy and administrative management,Government & Civil Society
"Public engagement and education; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Continuing support; Participatory grantmaking",Public sector policy and administrative management,Government & Civil Society
"Public engagement and education; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Equipment; Rent; Participatory grantmaking",Public sector policy and administrative management,Government & Civil Society
"Public engagement and education; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Online engagement",Education facilities and training,Education
"Public engagement and education; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Online engagement; Conferences and exhibits; Network-building and collaboration",Education facilities and training,Education
"Public engagement and education; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Participatory grantmaking",Public sector policy and administrative management,Government & Civil Society
"Public engagement and education; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Performances ",Public sector policy and administrative management,Government & Civil Society
"Public engagement and education; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Program evaluations",Public sector policy and administrative management,Government & Civil Society
"Public engagement and education; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Recordings",Multisector education/training,Other Multisector
"Public engagement and education; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Research; General support; Participatory grantmaking",Public sector policy and administrative management,Government & Civil Society
Public engagement and education; Advocacy; General support; Continuing support,Public sector policy and administrative management,Government & Civil Society
Public engagement and education; Advocacy; General support; Continuing support; Equal access,Public sector policy and administrative management,Government & Civil Society
Public engagement and education; Advocacy; General support; Continuing support; Outreach; Equal access,Public sector policy and administrative management,Government & Civil Society
Public engagement and education; Advocacy; Grassroots organizing; Capacity-building and technical assistance,Advanced technical and managerial training,Post-Secondary Education
Public engagement and education; Advocacy; Systems reform,Education facilities and training,Education
Public engagement and education; Capacity-building and technical assistance; Advocacy,Public sector policy and administrative management,Government & Civil Society
Public engagement and education; Coalition building,Multisector education/training,Other Multisector
Public engagement and education; Coalition building; Advocacy,Multisector education/training,Other Multisector
Public engagement and education; Coalition building; Continuing support,Multisector education/training,Other Multisector
Public engagement and education; Conference attendance; Advocacy,Multisector education/training,Other Multisector
Public engagement and education; Conference attendance; Systems reform; Participatory grantmaking,Multisector education/training,Other Multisector
Public engagement and education; Equal access,Public sector policy and administrative management,Government & Civil Society
Public engagement and education; Equal access; Capacity-building and technical assistance,Public sector policy and administrative management,Government & Civil Society
"Public engagement and education; Equal access; Policy, advocacy and systems reform",Public sector policy and administrative management,Government & Civil Society
Public engagement and education; Equal access; Systems reform; Continuing support; Program support,Public sector policy and administrative management,Government & Civil Society
"Public engagement and education; Equal access; Systems reform; Policy, advocacy and systems reform; Participatory grantmaking",Public sector policy and administrative management,Government & Civil Society
Public engagement and education; Ethics and accountability,Public sector policy and administrative management,Government & Civil Society
Public engagement and education; Ethics and accountability; Research,Public sector policy and administrative management,Government & Civil Society
Public engagement and education; Ethics and accountability; Research; Capacity-building and technical assistance,Public sector policy and administrative management,Government & Civil Society
Public engagement and education; Ethics and accountability; Research; Continuing support,Public sector policy and administrative management,Government & Civil Society
Public engagement and education; Ethics and accountability; Research; Leadership and professional development; General support,Public sector policy and administrative management,Government & Civil Society
"Public engagement and education; General support; Continuing support; Policy, advocacy and systems reform",Public sector policy and administrative management,Government & Civil Society
Public engagement and education; Grassroots organizing; Advocacy,Education facilities and training,Education
Public engagement and education; Grassroots organizing; Advocacy; Capacity-building and technical assistance,Education facilities and training,Education
Public engagement and education; Grassroots organizing; Conferences and exhibits,Multisector education/training,Other Multisector
Public engagement and education; Grassroots organizing; General support; Continuing support,Multisector education/training,Other Multisector
Public engagement and education; Information and Referral; Advocacy,Education facilities and training,Education
Public engagement and education; Information and Referral; Capacity-building and technical assistance,Education facilities and training,Education
Public engagement and education; Leadership and professional development,Education facilities and training,Education
"Public engagement and education; Leadership and professional development; Policy, advocacy and systems reform; Ethics and accountability; Continuing support",Education facilities and training,Education
Public engagement and education; Network-building and collaboration,Education facilities and training,Education
Public engagement and education; Online engagement; Information and Referral,Education facilities and training,Education
Public engagement and education; Online media; Management and leadership development; Advocacy; Grassroots organizing; Capacity-building and technical assistance,Information services,Communications
Public engagement and education; Outreach; Research,Education facilities and training,Education
Public engagement and education; Participatory grantmaking,Education facilities and training,Education
Public engagement and education; Performances ,Education facilities and training,Education
"Public engagement and education; Policy, advocacy and systems reform",Education facilities and training,Education
"Public engagement and education; Policy, advocacy and systems reform; Capacity-building and technical assistance; Continuing support",Education facilities and training,Education
"Public engagement and education; Policy, advocacy and systems reform; General support; Continuing support; Equal access",Public sector policy and administrative management,Government & Civil Society
"Public engagement and education; Policy, advocacy and systems reform; Nonprofit collaborations; Program support",Education facilities and training,Education
"Public engagement and education; Policy, advocacy and systems reform; Performances ; Continuing support; Capacity-building and technical assistance",Education facilities and training,Education
"Public engagement and education; Policy, advocacy and systems reform; Program support",Multisector education/training,Other Multisector
"Public engagement and education; Policy, advocacy and systems reform; Program support; Nonprofit collaborations",Multisector education/training,Other Multisector
Public engagement and education; Program support,Multisector education/training,Other Multisector
Public engagement and education; Program support; Advocacy,Multisector education/training,Other Multisector
Public engagement and education; Program support; Advocacy; Equal access; Recordings,Multisector education/training,Other Multisector
Public engagement and education; Recordings,Education facilities and training,Education
Public engagement and education; Systems reform; Advocacy,Educational research,Education
Publications; Advocacy,Education facilities and training,Education
Publications; Research,Educational research,Education
Recordings,Other Multisector,Other Multisector
"Recordings; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Nonprofit collaborations",Public sector policy and administrative management,Government & Civil Society
Recordings; Outreach,Public sector policy and administrative management,Government & Civil Society
Recordings; Program support; Outreach,Multisector education/training,Other Multisector
Recordings; Public engagement and education; Equal access; Network-building and collaboration; Advocacy,Education facilities and training,Education
Regranting,Multisector education/training,Other Multisector
"Regranting; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Capacity-building and technical assistance; Network-building and collaboration; Continuing support; Research",Educational research,Education
Regranting; Program expansion,Multisector education/training,Other Multisector
"Regulation and administration; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Capacity-building and technical assistance; Participatory grantmaking",Multisector education/training,Other Multisector
Research,Educational research,Education
Research and evaluation,Educational research,Education
Research and evaluation; Advocacy,Educational research,Education
Research and evaluation; Advocacy; Capacity-building and technical assistance; Participatory grantmaking,Educational research,Education
Research and evaluation; Advocacy; Conference attendance; Faculty and staff development; Capacity-building and technical assistance,Educational research,Education
Research and evaluation; Advocacy; Presentations and productions; Participatory grantmaking,Educational research,Education
Research and evaluation; Capacity-building and technical assistance,Educational research,Education
Research and evaluation; Capacity-building and technical assistance; Advocacy; General support; Grassroots organizing,Educational research,Education
Research and evaluation; Capacity-building and technical assistance; Advocacy; General support; Grassroots organizing; Network-building and collaboration; Presentations and productions,Educational research,Education
Research and evaluation; Capacity-building and technical assistance; Advocacy; Grassroots organizing,Educational research,Education
Research and evaluation; Capacity-building and technical assistance; Advocacy; Grassroots organizing; Network-building and collaboration,Educational research,Education
Research and evaluation; Capacity-building and technical assistance; Advocacy; Grassroots organizing; Program support,Educational research,Education
Research and evaluation; Data and measurement systems; Equal access; Program support,Educational research,Education
Research and evaluation; General support; Grassroots organizing,Educational research,Education
Research and evaluation; Network-building and collaboration,Educational research,Education
"Research and evaluation; Policy, advocacy and systems reform; Information and Referral",Educational research,Education
"Research and evaluation; Policy, advocacy and systems reform; System and operational improvements",Educational research,Education
Research and evaluation; Program support,Educational research,Education
Research and evaluation; Program support; Advocacy; Systems reform,Educational research,Education
Research and evaluation; Program support; Capacity-building and technical assistance,Educational research,Education
Research and evaluation; Public engagement and education; Advocacy; Equal access,Educational research,Education
Research and evaluation; Public engagement and education; Recordings,Educational research,Education
Research and evaluation; Publications,Educational research,Education
Research and evaluation; Technical assistance; Financial services,Educational research,Education
Research; Advocacy,Educational research,Education
Research; Advocacy; Capacity-building and technical assistance,Educational research,Education
"Research; Advocacy; Equal access; Litigation; Systems reform; Policy, advocacy and systems reform",Educational research,Education
"Research; Advocacy; Equal access; Policy, advocacy and systems reform",Educational research,Education
"Research; Advocacy; Equal access; Policy, advocacy and systems reform; Participatory grantmaking",Educational research,Education
"Research; Advocacy; Equal access; Systems reform; Grassroots organizing; Policy, advocacy and systems reform",Educational research,Education
Research; Advocacy; Grassroots organizing; Convening; Program support,Educational research,Education
Research; Capacity-building and technical assistance,Educational research,Education
Research; Convening,Educational research,Education
Research; Curriculum development,Educational research,Education
Research; Data and measurement systems,Educational research,Education
Research; Data and measurement systems; Ethics and accountability; Capacity-building and technical assistance,Statistical capacity building,Other Social Infrastructure & Services
Research; Equal access; Participatory grantmaking,Statistical capacity building,Other Social Infrastructure & Services
Research; Equal access; Program support,Statistical capacity building,Other Social Infrastructure & Services
Research; Ethics and accountability; Advocacy; Continuing support,Statistical capacity building,Other Social Infrastructure & Services
Research; Ethics and accountability; Capacity-building and technical assistance; Systems reform; Publications,Statistical capacity building,Other Social Infrastructure & Services
Research; Faculty and staff development,Statistical capacity building,Other Social Infrastructure & Services
Research; General support,Statistical capacity building,Other Social Infrastructure & Services
Research; Grassroots organizing,Statistical capacity building,Other Social Infrastructure & Services
Research; Leadership and professional development; Equal access,Statistical capacity building,Other Social Infrastructure & Services
"Research; Policy, advocacy and systems reform",Educational research,Education
"Research; Policy, advocacy and systems reform; Convening; Network-building and collaboration",Educational research,Education
"Research; Policy, advocacy and systems reform; Data and measurement systems",Educational research,Education
"Research; Policy, advocacy and systems reform; Program support",Educational research,Education
"Research; Policy, advocacy and systems reform; Public engagement and education",Educational research,Education
"Research; Policy, advocacy and systems reform; Public engagement and education; Program support",Educational research,Education
Research; Program creation,Educational research,Education
Research; Program support,Educational research,Education
Research; Program support; Continuing support,Educational research,Education
"Research; Program support; Policy, advocacy and systems reform; Data and measurement systems",Educational research,Education
Research; Public engagement and education,Educational research,Education
Research; Publications; Ethics and accountability; Regulation and administration,Educational research,Education
Research; Systems reform; Equal access; Publications; Conferences and exhibits,Educational research,Education
Research; Technical assistance,Educational research,Education
Scholarships,Multisector education/training,Other Multisector
Scholarships; Equal access; Online engagement; Convening; Participatory grantmaking,Multisector education/training,Other Multisector
Scholarships; Equal access; Program support,Multisector education/training,Other Multisector
Scholarships; Participatory grantmaking,Multisector education/training,Other Multisector
Scholarships; Travel awards,Multisector education/training,Other Multisector
Scholarships; Travel awards; Participatory grantmaking,Multisector education/training,Other Multisector
"Seed money; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Capacity-building and technical assistance; Equipment",Small and medium-sized enterprises (SME) development,Industry
Student aid,Education facilities and training,Education
System and operational improvements,Other Multisector,Other Multisector
System and operational improvements; Advocacy; Management and leadership development; Equal access,Other Multisector,Other Multisector
System and operational improvements; Advocacy; Product and service delivery,Other Multisector,Other Multisector
System and operational improvements; Conference attendance,Education facilities and training,Education
System and operational improvements; Grassroots organizing,Other Multisector,Other Multisector
System and operational improvements; Management and leadership development; Grassroots organizing,Other Multisector,Other Multisector
System and operational improvements; Network-building and collaboration,Other Multisector,Other Multisector
System and operational improvements; Public engagement and education,Other Multisector,Other Multisector
System and operational improvements; Public engagement and education; Information and Referral,Public sector policy and administrative management,Government & Civil Society
System and operational improvements; Public engagement and education; Program evaluations; Conference attendance; Management and leadership development,Public sector policy and administrative management,Government & Civil Society
System and operational improvements; Technical assistance; Advocacy,Public sector policy and administrative management,Government & Civil Society
Systems reform,Other Multisector,Other Multisector
Systems reform; Advocacy; Equal access,Education facilities and training,Education
Systems reform; Advocacy; Equipment; Participatory grantmaking,Education facilities and training,Education
Systems reform; Advocacy; Ethics and accountability; Research,Education facilities and training,Education
Systems reform; Advocacy; Technical assistance,Education facilities and training,Education
Systems reform; Capacity-building and technical assistance; Advocacy; Equal access,Education facilities and training,Education
"Systems reform; Conference attendance; Awards, prizes and competitions; Participatory grantmaking",Advanced technical and managerial training,Post-Secondary Education
Systems reform; Equal access; Advocacy; Program support,Public sector policy and administrative management,Government & Civil Society
Systems reform; Equal access; Advocacy; Public engagement and education,Public sector policy and administrative management,Government & Civil Society
Systems reform; Ethics and accountability; Advocacy,Public sector policy and administrative management,Government & Civil Society
Systems reform; Litigation; Equal access,Public sector policy and administrative management,Government & Civil Society
Systems reform; Program creation,Other Multisector,Other Multisector
Systems reform; Program support; Convening; Conferences and exhibits; Network-building and collaboration,Other Multisector,Other Multisector
Systems reform; Program support; Equal access; Advocacy; Outreach,Other Multisector,Other Multisector
Systems reform; Public engagement and education; Equal access,Other Multisector,Other Multisector
Systems reform; Public engagement and education; Publications; Outreach; Participatory grantmaking,Other Multisector,Other Multisector
Technical assistance,Advanced technical and managerial training,Post-Secondary Education
Technical assistance; Advocacy; Conference attendance; Management and leadership development,Advanced technical and managerial training,Post-Secondary Education
Technical assistance; Advocacy; Equipment; Participatory grantmaking,Advanced technical and managerial training,Post-Secondary Education
Technical assistance; Conference attendance; Participatory grantmaking,Advanced technical and managerial training,Post-Secondary Education
Technical assistance; Continuing support; Research,Advanced technical and managerial training,Post-Secondary Education
Technical assistance; Grantee relations,Advanced technical and managerial training,Post-Secondary Education
Technical assistance; Program support; Research,Advanced technical and managerial training,Post-Secondary Education
Technical assistance; Program support; System and operational improvements,Advanced technical and managerial training,Post-Secondary Education
Technical assistance; Recordings,Advanced technical and managerial training,Post-Secondary Education
Technical assistance; Research and evaluation,Advanced technical and managerial training,Post-Secondary Education
Technical assistance; Research and evaluation; Program support,Advanced technical and managerial training,Post-Secondary Education
Technical assistance; System and operational improvements,Advanced technical and managerial training,Post-Secondary Education
Translation ; Equal access,Advanced technical and managerial training,Post-Secondary Education
Travel awards,Other Multisector,Other Multisector
"Travel awards; Advocacy; Equal access; Policy, advocacy and systems reform; Public engagement and education",Other Multisector,Other Multisector
"Travel awards; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education",Public sector policy and administrative management,Government & Civil Society
"Travel awards; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Conferences and exhibits; Capacity-building and technical assistance",Education facilities and training,Education
Travel awards; Conferences and exhibits,Education facilities and training,Education
Volunteer development,Business development services,Business & Other Services
(blank),(blank),Unallocated / Unspecified
